6/9/2000 18:00,200006091800,44.96,001,,010,08.34,001,,010,,010,,010,,010,,010,985.00,001,,010,320.15,001,01.77,001,,,,,,,,,,,,,,,,,,
6/9/2000 18:30,200006091830,37.90,001,,010,07.96,001,,010,,010,,010,,010,,010,985.00,001,,010,308.40,001,02.80,001,,,,,,,,,,,,,,,,,,
6/9/2000 19:00,200006091900,24.22,001,,010,07.72,001,,010,,010,,010,,010,,010,985.50,001,,010,292.95,001,02.19,001,,,,,,,,,,,,,,,,,,
6/9/2000 19:30,200006091930,05.01,001,,010,07.43,001,,010,,010,,010,,010,,010,986.00,001,,010,214.00,001,00.79,001,,,,,,,,,,,,,,,,,,
6/9/2000 20:00,200006092000,06.70,001,,010,07.17,001,,010,,010,,010,,010,,010,986.00,001,,010,201.65,001,00.83,001,,,,,,,,,,,,,,,,,,
6/9/2000 20:30,200006092030,05.81,001,,010,06.98,001,,010,,010,,010,,010,,010,986.00,001,,010,245.90,001,00.79,001,,,,,,,,,,,,,,,,,,
6/9/2000 21:00,200006092100,00.02,003,,010,07.15,001,,010,,010,,010,,010,,010,986.00,001,,010,225.60,001,00.80,001,,,,,,,,,,,,,,,,,,
6/9/2000 21:30,200006092130,00.02,003,,010,07.53,001,,010,,010,,010,,010,,010,986.50,001,,010,247.05,001,01.51,001,,,,,,,,,,,,,,,,,,
6/9/2000 22:00,200006092200,00.02,003,,010,07.61,001,,010,,010,,010,,010,,010,987.00,001,,010,247.35,001,02.24,001,,,,,,,,,,,,,,,,,,
6/9/2000 22:30,200006092230,00.02,003,,010,07.65,001,,010,,010,,010,,010,,010,987.00,001,,010,255.30,001,01.93,001,,,,,,,,,,,,,,,,,,
6/9/2000 23:00,200006092300,00.02,003,,010,07.69,001,,010,,010,,010,,010,,010,987.00,001,,010,243.80,001,01.75,001,,,,,,,,,,,,,,,,,,
6/9/2000 23:30,200006092330,00.02,003,,010,07.33,001,,010,,010,,010,,010,,010,987.00,001,,010,208.85,001,01.28,001,,,,,,,,,,,,,,,,,,
6/10/2000 0:00,200006100000,00.02,003,,010,06.95,001,,010,,010,,010,,010,,010,987.00,001,,010,206.05,001,01.49,001,,,,,,,,,,,,,,,,,,
6/10/2000 0:30,200006100030,00.02,003,,010,06.90,001,,010,,010,,010,,010,,010,987.00,001,,010,220.15,001,01.55,001,,,,,,,,,,,,,,,,,,
6/10/2000 1:00,200006100100,00.02,003,,010,07.01,001,,010,,010,,010,,010,,010,987.50,001,,010,219.00,001,01.25,001,,,,,,,,,,,,,,,,,,
6/10/2000 1:30,200006100130,00.02,003,,010,07.17,001,,010,,010,,010,,010,,010,988.00,001,,010,237.05,001,01.86,001,,,,,,,,,,,,,,,,,,
6/10/2000 2:00,200006100200,00.02,003,,010,07.22,001,,010,,010,,010,,010,,010,988.00,001,,010,231.55,001,02.04,001,,,,,,,,,,,,,,,,,,
6/10/2000 2:30,200006100230,00.02,003,,010,07.45,001,,010,,010,,010,,010,,010,988.00,001,,010,239.40,001,01.72,001,,,,,,,,,,,,,,,,,,
6/10/2000 3:00,200006100300,00.02,003,,010,07.14,001,,010,,010,,010,,010,,010,988.00,001,,010,233.80,001,01.87,001,,,,,,,,,,,,,,,,,,
6/10/2000 3:30,200006100330,00.02,003,,010,06.78,001,,010,,010,,010,,010,,010,988.00,001,,010,234.65,001,01.73,001,,,,,,,,,,,,,,,,,,
6/10/2000 4:00,200006100400,06.49,001,,010,06.73,001,,010,,010,,010,,010,,010,988.00,001,,010,230.75,001,01.49,001,,,,,,,,,,,,,,,,,,
6/10/2000 4:30,200006100430,27.91,001,,010,07.07,001,,010,,010,,010,,010,,010,988.50,001,,010,229.75,001,01.88,001,,,,,,,,,,,,,,,,,,
6/10/2000 5:00,200006100500,51.26,001,,010,07.19,001,,010,,010,,010,,010,,010,988.50,001,,010,198.35,001,01.75,001,,,,,,,,,,,,,,,,,,
6/10/2000 5:30,200006100530,136.75,001,,010,07.54,001,,010,,010,,010,,010,,010,989.00,001,,010,206.00,001,02.46,001,,,,,,,,,,,,,,,,,,
6/10/2000 6:00,200006100600,190.10,001,,010,07.80,001,,010,,010,,010,,010,,010,989.00,001,,010,197.50,001,02.31,001,,,,,,,,,,,,,,,,,,
6/10/2000 6:30,200006100630,269.55,001,,010,08.34,001,,010,,010,,010,,010,,010,989.00,001,,010,207.20,001,02.27,001,,,,,,,,,,,,,,,,,,
6/10/2000 7:00,200006100700,316.30,001,,010,08.91,001,,010,,010,,010,,010,,010,990.00,001,,010,204.20,001,02.58,001,,,,,,,,,,,,,,,,,,
6/10/2000 7:30,200006100730,298.10,001,,010,09.49,001,,010,,010,,010,,010,,010,990.00,001,,010,206.20,001,02.48,001,,,,,,,,,,,,,,,,,,
6/10/2000 8:00,200006100800,320.05,001,,010,09.70,001,,010,,010,,010,,010,,010,990.00,001,,010,209.70,001,02.72,001,,,,,,,,,,,,,,,,,,
6/10/2000 8:30,200006100830,270.10,001,,010,10.02,001,,010,,010,,010,,010,,010,990.00,001,,010,202.45,001,02.46,001,,,,,,,,,,,,,,,,,,
6/10/2000 9:00,200006100900,276.90,001,,010,10.21,001,,010,,010,,010,,010,,010,990.00,001,,010,205.45,001,03.32,001,,,,,,,,,,,,,,,,,,
6/10/2000 9:30,200006100930,395.20,001,,010,10.62,001,,010,,010,,010,,010,,010,990.00,001,,010,203.55,001,02.94,001,,,,,,,,,,,,,,,,,,
6/10/2000 10:00,200006101000,626.55,001,,010,11.47,001,,010,,010,,010,,010,,010,990.00,001,,010,201.25,001,03.40,001,,,,,,,,,,,,,,,,,,
6/10/2000 10:30,200006101030,727.75,001,,010,12.21,001,,010,,010,,010,,010,,010,989.50,001,,010,194.85,001,03.95,001,,,,,,,,,,,,,,,,,,
6/10/2000 11:00,200006101100,219.15,001,,010,11.34,001,,010,,010,,010,,010,,010,989.50,001,,010,218.85,001,02.48,001,,,,,,,,,,,,,,,,,,
6/10/2000 11:30,200006101130,648.05,001,,010,12.36,001,,010,,010,,010,,010,,010,989.00,001,,010,208.65,001,03.74,001,,,,,,,,,,,,,,,,,,
6/10/2000 12:00,200006101200,734.10,001,,010,12.63,001,,010,,010,,010,,010,,010,989.00,001,,010,200.70,001,04.29,001,,,,,,,,,,,,,,,,,,
6/10/2000 12:30,200006101230,854.00,001,,010,13.39,001,,010,,010,,010,,010,,010,989.00,001,,010,207.80,001,03.84,001,,,,,,,,,,,,,,,,,,
6/10/2000 13:00,200006101300,784.00,001,,010,12.72,001,,010,,010,,010,,010,,010,989.00,001,,010,206.10,001,04.83,001,,,,,,,,,,,,,,,,,,
6/10/2000 13:30,200006101330,567.50,001,,010,12.40,001,,010,,010,,010,,010,,010,989.00,001,,010,204.35,001,04.04,001,,,,,,,,,,,,,,,,,,
6/10/2000 14:00,200006101400,617.75,001,,010,12.65,001,,010,,010,,010,,010,,010,988.00,001,,010,204.45,001,04.60,001,,,,,,,,,,,,,,,,,,
6/10/2000 14:30,200006101430,423.55,001,,010,12.02,001,,010,,010,,010,,010,,010,988.00,001,,010,194.05,001,04.37,001,,,,,,,,,,,,,,,,,,
6/10/2000 15:00,200006101500,441.35,001,,010,11.93,001,,010,,010,,010,,010,,010,988.00,001,,010,186.45,001,04.39,001,,,,,,,,,,,,,,,,,,
6/10/2000 15:30,200006101530,274.85,001,,010,11.39,001,,010,,010,,010,,010,,010,988.00,001,,010,194.80,001,04.73,001,,,,,,,,,,,,,,,,,,
6/10/2000 16:00,200006101600,259.15,001,,010,11.13,001,,010,,010,,010,,010,,010,987.00,001,,010,194.50,001,05.37,001,,,,,,,,,,,,,,,,,,
6/10/2000 16:30,200006101630,233.80,001,,010,10.67,001,,010,,010,,010,,010,,010,986.50,001,,010,196.05,001,05.07,001,,,,,,,,,,,,,,,,,,
6/10/2000 17:00,200006101700,222.40,001,,010,10.40,001,,010,,010,,010,,010,,010,986.00,001,,010,196.10,001,05.73,001,,,,,,,,,,,,,,,,,,
6/10/2000 17:30,200006101730,273.30,001,,010,10.63,001,,010,,010,,010,,010,,010,986.00,001,,010,196.55,001,06.05,001,,,,,,,,,,,,,,,,,,
6/10/2000 18:00,200006101800,219.80,001,,010,10.28,001,,010,,010,,010,,010,,010,986.00,001,,010,196.10,001,04.98,001,,,,,,,,,,,,,,,,,,
6/10/2000 18:30,200006101830,136.05,001,,010,09.71,001,,010,,010,,010,,010,,010,985.50,001,,010,201.20,001,05.38,001,,,,,,,,,,,,,,,,,,
6/10/2000 19:00,200006101900,138.70,001,,010,09.12,001,,010,,010,,010,,010,,010,985.00,001,,010,199.00,001,05.61,001,,,,,,,,,,,,,,,,,,
6/10/2000 19:30,200006101930,33.63,001,,010,08.01,001,,010,,010,,010,,010,,010,985.00,001,,010,199.65,001,04.99,001,,,,,,,,,,,,,,,,,,
6/10/2000 20:00,200006102000,16.74,001,,010,07.55,001,,010,,010,,010,,010,,010,985.00,001,,010,195.25,001,03.78,001,,,,,,,,,,,,,,,,,,
6/10/2000 20:30,200006102030,06.65,001,,010,07.48,001,,010,,010,,010,,010,,010,984.00,001,,010,193.45,001,03.26,001,,,,,,,,,,,,,,,,,,
6/10/2000 21:00,200006102100,00.02,003,,010,07.48,001,,010,,010,,010,,010,,010,984.00,001,,010,195.10,001,02.91,001,,,,,,,,,,,,,,,,,,
6/10/2000 21:30,200006102130,00.02,003,,010,07.92,001,,010,,010,,010,,010,,010,984.00,001,,010,204.40,001,02.66,001,,,,,,,,,,,,,,,,,,
6/10/2000 22:00,200006102200,00.02,003,,010,07.84,001,,010,,010,,010,,010,,010,984.00,001,,010,205.90,001,03.01,001,,,,,,,,,,,,,,,,,,
6/10/2000 22:30,200006102230,00.02,003,,010,07.58,001,,010,,010,,010,,010,,010,984.00,001,,010,223.75,001,02.59,001,,,,,,,,,,,,,,,,,,
6/10/2000 23:00,200006102300,00.02,003,,010,06.92,001,,010,,010,,010,,010,,010,984.00,001,,010,228.25,001,03.12,001,,,,,,,,,,,,,,,,,,
6/10/2000 23:30,200006102330,00.02,003,,010,06.89,001,,010,,010,,010,,010,,010,984.00,001,,010,228.70,001,03.22,001,,,,,,,,,,,,,,,,,,
6/11/2000 0:00,200006110000,00.02,003,,010,06.86,001,,010,,010,,010,,010,,010,984.00,001,,010,224.30,001,03.10,001,,,,,,,,,,,,,,,,,,
6/11/2000 0:30,200006110030,00.02,003,,010,07.02,001,,010,,010,,010,,010,,010,984.00,001,,010,233.00,001,03.11,001,,,,,,,,,,,,,,,,,,
6/11/2000 1:00,200006110100,00.02,003,,010,06.87,001,,010,,010,,010,,010,,010,984.00,001,,010,226.30,001,02.96,001,,,,,,,,,,,,,,,,,,
6/11/2000 1:30,200006110130,00.02,003,,010,06.99,001,,010,,010,,010,,010,,010,984.50,001,,010,215.95,001,02.93,001,,,,,,,,,,,,,,,,,,
6/11/2000 2:00,200006110200,00.02,003,,010,06.53,001,,010,,010,,010,,010,,010,985.00,001,,010,202.50,001,03.14,001,,,,,,,,,,,,,,,,,,
6/11/2000 2:30,200006110230,00.02,003,,010,06.12,001,,010,,010,,010,,010,,010,985.00,001,,010,200.95,001,03.22,001,,,,,,,,,,,,,,,,,,
6/11/2000 3:00,200006110300,00.02,003,,010,05.90,001,,010,,010,,010,,010,,010,985.00,001,,010,202.50,001,02.69,001,,,,,,,,,,,,,,,,,,
6/11/2000 3:30,200006110330,00.02,003,,010,05.99,001,,010,,010,,010,,010,,010,985.50,001,,010,210.30,001,02.98,001,,,,,,,,,,,,,,,,,,
6/11/2000 4:00,200006110400,05.86,001,,010,06.30,001,,010,,010,,010,,010,,010,986.00,001,,010,215.35,001,03.51,001,,,,,,,,,,,,,,,,,,
6/11/2000 4:30,200006110430,20.78,001,,010,06.45,001,,010,,010,,010,,010,,010,986.00,001,,010,221.15,001,03.77,001,,,,,,,,,,,,,,,,,,
6/11/2000 5:00,200006110500,54.39,001,,010,06.74,001,,010,,010,,010,,010,,010,986.00,001,,010,219.50,001,03.43,001,,,,,,,,,,,,,,,,,,
6/11/2000 5:30,200006110530,161.05,001,,010,07.38,001,,010,,010,,010,,010,,010,986.00,001,,010,214.25,001,03.71,001,,,,,,,,,,,,,,,,,,
6/11/2000 6:00,200006110600,134.75,001,,010,06.96,001,,010,,010,,010,,010,,010,986.00,001,,010,214.30,001,03.37,001,,,,,,,,,,,,,,,,,,
6/11/2000 6:30,200006110630,261.35,001,,010,07.69,001,,010,,010,,010,,010,,010,987.00,001,,010,216.15,001,04.03,001,,,,,,,,,,,,,,,,,,
6/11/2000 7:00,200006110700,305.55,001,,010,08.07,001,,010,,010,,010,,010,,010,987.00,001,,010,224.35,001,03.73,001,,,,,,,,,,,,,,,,,,
6/11/2000 7:30,200006110730,316.00,001,,010,08.37,001,,010,,010,,010,,010,,010,987.00,001,,010,226.50,001,03.61,001,,,,,,,,,,,,,,,,,,
6/11/2000 8:00,200006110800,437.20,001,,010,08.93,001,,010,,010,,010,,010,,010,987.00,001,,010,223.90,001,03.65,001,,,,,,,,,,,,,,,,,,
6/11/2000 8:30,200006110830,456.10,001,,010,09.51,001,,010,,010,,010,,010,,010,987.00,001,,010,227.00,001,04.14,001,,,,,,,,,,,,,,,,,,
6/11/2000 9:00,200006110900,373.95,001,,010,09.73,001,,010,,010,,010,,010,,010,987.50,001,,010,229.10,001,03.95,001,,,,,,,,,,,,,,,,,,
6/11/2000 9:30,200006110930,411.75,001,,010,09.68,001,,010,,010,,010,,010,,010,988.00,001,,010,224.90,001,03.80,001,,,,,,,,,,,,,,,,,,
6/11/2000 10:00,200006111000,399.10,001,,010,09.75,001,,010,,010,,010,,010,,010,988.00,001,,010,215.25,001,04.11,001,,,,,,,,,,,,,,,,,,
6/11/2000 10:30,200006111030,397.50,001,,010,09.51,001,,010,,010,,010,,010,,010,988.00,001,,010,218.70,001,04.18,001,,,,,,,,,,,,,,,,,,
6/11/2000 11:00,200006111100,507.35,001,,010,09.50,001,,010,,010,,010,,010,,010,988.00,001,,010,206.05,001,04.00,001,,,,,,,,,,,,,,,,,,
6/11/2000 11:30,200006111130,258.55,001,,010,09.76,001,,010,,010,,010,,010,,010,988.00,001,,010,216.10,001,03.68,001,,,,,,,,,,,,,,,,,,
6/11/2000 12:00,200006111200,166.45,001,,010,09.98,001,,010,,010,,010,,010,,010,988.00,001,,010,219.05,001,03.62,001,,,,,,,,,,,,,,,,,,
6/11/2000 12:30,200006111230,204.60,001,,010,09.86,001,,010,,010,,010,,010,,010,988.00,001,,010,229.80,001,03.63,001,,,,,,,,,,,,,,,,,,
6/11/2000 13:00,200006111300,265.95,001,,010,10.02,001,,010,,010,,010,,010,,010,988.50,001,,010,227.05,001,03.66,001,,,,,,,,,,,,,,,,,,
6/11/2000 13:30,200006111330,272.35,001,,010,09.48,001,,010,,010,,010,,010,,010,989.00,001,,010,229.90,001,04.00,001,,,,,,,,,,,,,,,,,,
6/11/2000 14:00,200006111400,319.15,001,,010,09.68,001,,010,,010,,010,,010,,010,989.00,001,,010,228.75,001,04.07,001,,,,,,,,,,,,,,,,,,
6/11/2000 14:30,200006111430,415.50,001,,010,09.17,001,,010,,010,,010,,010,,010,989.00,001,,010,237.80,001,03.89,001,,,,,,,,,,,,,,,,,,
6/11/2000 15:00,200006111500,456.50,001,,010,09.31,001,,010,,010,,010,,010,,010,989.00,001,,010,234.10,001,04.49,001,,,,,,,,,,,,,,,,,,
6/11/2000 15:30,200006111530,247.80,001,,010,09.26,001,,010,,010,,010,,010,,010,989.50,001,,010,225.35,001,04.22,001,,,,,,,,,,,,,,,,,,
6/11/2000 16:00,200006111600,340.40,001,,010,09.69,001,,010,,010,,010,,010,,010,989.00,001,,010,225.30,001,04.02,001,,,,,,,,,,,,,,,,,,
6/11/2000 16:30,200006111630,238.85,001,,010,09.71,001,,010,,010,,010,,010,,010,989.00,001,,010,228.95,001,03.95,001,,,,,,,,,,,,,,,,,,
6/11/2000 17:00,200006111700,311.20,001,,010,10.52,001,,010,,010,,010,,010,,010,989.00,001,,010,230.15,001,03.17,001,,,,,,,,,,,,,,,,,,
6/11/2000 17:30,200006111730,203.20,001,,010,10.57,001,,010,,010,,010,,010,,010,989.00,001,,010,232.25,001,03.68,001,,,,,,,,,,,,,,,,,,
6/11/2000 18:00,200006111800,123.80,001,,010,10.42,001,,010,,010,,010,,010,,010,989.00,001,,010,221.10,001,02.70,001,,,,,,,,,,,,,,,,,,
6/11/2000 18:30,200006111830,38.20,001,,010,09.40,001,,010,,010,,010,,010,,010,989.00,001,,010,227.25,001,02.22,001,,,,,,,,,,,,,,,,,,
6/11/2000 19:00,200006111900,94.10,001,,010,09.24,001,,010,,010,,010,,010,,010,990.00,001,,010,227.65,001,03.25,001,,,,,,,,,,,,,,,,,,
6/11/2000 19:30,200006111930,88.20,001,,010,09.54,001,,010,,010,,010,,010,,010,990.00,001,,010,231.50,001,03.13,001,,,,,,,,,,,,,,,,,,
6/11/2000 20:00,200006112000,43.05,001,,010,09.44,001,,010,,010,,010,,010,,010,990.00,001,,010,223.60,001,02.67,001,,,,,,,,,,,,,,,,,,
6/11/2000 20:30,200006112030,20.15,001,,010,09.11,001,,010,,010,,010,,010,,010,990.00,001,,010,210.20,001,02.59,001,,,,,,,,,,,,,,,,,,
6/11/2000 21:00,200006112100,00.02,003,,010,08.74,001,,010,,010,,010,,010,,010,990.00,001,,010,206.50,001,02.33,001,,,,,,,,,,,,,,,,,,
6/11/2000 21:30,200006112130,00.02,003,,010,08.69,001,,010,,010,,010,,010,,010,990.00,001,,010,208.40,001,02.60,001,,,,,,,,,,,,,,,,,,
6/11/2000 22:00,200006112200,00.02,003,,010,08.73,001,,010,,010,,010,,010,,010,990.00,001,,010,213.95,001,02.43,001,,,,,,,,,,,,,,,,,,
6/11/2000 22:30,200006112230,00.02,003,,010,08.78,001,,010,,010,,010,,010,,010,990.00,001,,010,212.45,001,02.24,001,,,,,,,,,,,,,,,,,,
6/11/2000 23:00,200006112300,00.02,003,,010,08.64,001,,010,,010,,010,,010,,010,989.50,001,,010,216.95,001,01.95,001,,,,,,,,,,,,,,,,,,
6/11/2000 23:30,200006112330,00.02,003,,010,08.76,001,,010,,010,,010,,010,,010,989.00,001,,010,207.25,001,02.74,001,,,,,,,,,,,,,,,,,,
6/12/2000 0:00,200006120000,00.02,003,,010,08.84,001,,010,,010,,010,,010,,010,989.00,001,,010,203.55,001,02.59,001,,,,,,,,,,,,,,,,,,
6/12/2000 0:30,200006120030,00.02,003,,010,08.51,001,,010,,010,,010,,010,,010,989.00,001,,010,200.50,001,02.71,001,,,,,,,,,,,,,,,,,,
6/12/2000 1:00,200006120100,00.02,003,,010,08.34,001,,010,,010,,010,,010,,010,988.50,001,,010,202.90,001,02.46,001,,,,,,,,,,,,,,,,,,
6/12/2000 1:30,200006120130,00.02,003,,010,08.78,001,,010,,010,,010,,010,,010,988.00,001,,010,208.45,001,02.50,001,,,,,,,,,,,,,,,,,,
6/12/2000 2:00,200006120200,00.02,003,,010,09.18,001,,010,,010,,010,,010,,010,988.00,001,,010,205.45,001,02.94,001,,,,,,,,,,,,,,,,,,
6/12/2000 2:30,200006120230,00.02,003,,010,09.35,001,,010,,010,,010,,010,,010,988.00,001,,010,206.05,001,02.92,001,,,,,,,,,,,,,,,,,,
6/12/2000 3:00,200006120300,00.02,003,,010,10.12,001,,010,,010,,010,,010,,010,988.00,001,,010,217.40,001,03.53,001,,,,,,,,,,,,,,,,,,
6/12/2000 3:30,200006120330,00.02,003,,010,10.59,001,,010,,010,,010,,010,,010,988.00,001,,010,227.30,001,04.23,001,,,,,,,,,,,,,,,,,,
6/12/2000 4:00,200006120400,01.37,001,,010,10.54,001,,010,,010,,010,,010,,010,989.00,001,,010,226.10,001,03.48,001,,,,,,,,,,,,,,,,,,
6/12/2000 4:30,200006120430,07.49,001,,010,10.38,001,,010,,010,,010,,010,,010,989.00,001,,010,218.80,001,03.29,001,,,,,,,,,,,,,,,,,,
6/12/2000 5:00,200006120500,16.57,001,,010,10.31,001,,010,,010,,010,,010,,010,989.00,001,,010,215.35,001,03.19,001,,,,,,,,,,,,,,,,,,
6/12/2000 5:30,200006120530,24.01,001,,010,10.44,001,,010,,010,,010,,010,,010,989.00,001,,010,225.00,001,03.63,001,,,,,,,,,,,,,,,,,,
6/12/2000 6:00,200006120600,45.87,001,,010,10.76,001,,010,,010,,010,,010,,010,989.00,001,,010,226.00,001,03.69,001,,,,,,,,,,,,,,,,,,
6/12/2000 6:30,200006120630,47.71,001,,010,10.83,001,,010,,010,,010,,010,,010,989.00,001,,010,220.35,001,03.42,001,,,,,,,,,,,,,,,,,,
6/12/2000 7:00,200006120700,127.80,001,,010,11.18,001,,010,,010,,010,,010,,010,989.00,001,,010,218.65,001,03.69,001,,,,,,,,,,,,,,,,,,
6/12/2000 7:30,200006120730,160.35,001,,010,11.50,001,,010,,010,,010,,010,,010,989.50,001,,010,216.45,001,03.56,001,,,,,,,,,,,,,,,,,,
6/12/2000 8:00,200006120800,184.40,001,,010,11.95,001,,010,,010,,010,,010,,010,990.00,001,,010,216.60,001,03.44,001,,,,,,,,,,,,,,,,,,
6/12/2000 8:30,200006120830,198.75,001,,010,12.22,001,,010,,010,,010,,010,,010,990.00,001,,010,220.85,001,03.91,001,,,,,,,,,,,,,,,,,,
6/12/2000 9:00,200006120900,245.25,001,,010,12.90,001,,010,,010,,010,,010,,010,990.00,001,,010,221.30,001,04.20,001,,,,,,,,,,,,,,,,,,
6/12/2000 9:30,200006120930,427.50,001,,010,13.77,001,,010,,010,,010,,010,,010,990.00,001,,010,217.65,001,04.15,001,,,,,,,,,,,,,,,,,,
6/12/2000 10:00,200006121000,525.60,001,,010,14.87,001,,010,,010,,010,,010,,010,990.00,001,,010,220.25,001,04.17,001,,,,,,,,,,,,,,,,,,
6/12/2000 10:30,200006121030,197.95,001,,010,14.45,001,,010,,010,,010,,010,,010,990.00,001,,010,221.65,001,03.54,001,,,,,,,,,,,,,,,,,,
6/12/2000 11:00,200006121100,332.90,001,,010,15.11,001,,010,,010,,010,,010,,010,990.00,001,,010,225.50,001,03.98,001,,,,,,,,,,,,,,,,,,
6/12/2000 11:30,200006121130,163.45,001,,010,15.12,001,,010,,010,,010,,010,,010,990.50,001,,010,214.80,001,04.09,001,,,,,,,,,,,,,,,,,,
6/12/2000 12:00,200006121200,106.40,001,,010,14.64,001,,010,,010,,010,,010,,010,991.00,001,,010,210.70,001,04.22,001,,,,,,,,,,,,,,,,,,
6/12/2000 12:30,200006121230,269.25,001,,010,14.80,001,,010,,010,,010,,010,,010,991.00,001,,010,209.40,001,04.78,001,,,,,,,,,,,,,,,,,,
6/12/2000 13:00,200006121300,380.40,001,,010,15.14,001,,010,,010,,010,,010,,010,990.50,001,,010,201.50,001,05.42,001,,,,,,,,,,,,,,,,,,
6/12/2000 13:30,200006121330,282.80,001,,010,14.67,001,,010,,010,,010,,010,,010,990.00,001,,010,201.15,001,05.66,001,,,,,,,,,,,,,,,,,,
6/12/2000 14:00,200006121400,523.70,001,,010,14.28,001,,010,,010,,010,,010,,010,990.00,001,,010,204.70,001,05.60,001,,,,,,,,,,,,,,,,,,
6/12/2000 14:30,200006121430,362.45,001,,010,14.71,001,,010,,010,,010,,010,,010,990.00,001,,010,205.90,001,05.85,001,,,,,,,,,,,,,,,,,,
6/12/2000 15:00,200006121500,227.40,001,,010,14.94,001,,010,,010,,010,,010,,010,990.00,001,,010,203.90,001,06.11,001,,,,,,,,,,,,,,,,,,
6/12/2000 15:30,200006121530,285.95,001,,010,15.29,001,,010,,010,,010,,010,,010,990.00,001,,010,207.25,001,06.33,001,,,,,,,,,,,,,,,,,,
6/12/2000 16:00,200006121600,107.30,001,,010,15.14,001,,010,,010,,010,,010,,010,990.00,001,,010,208.35,001,05.70,001,,,,,,,,,,,,,,,,,,
6/12/2000 16:30,200006121630,93.70,001,,010,14.39,001,,010,,010,,010,,010,,010,990.00,001,,010,199.45,001,05.43,001,,,,,,,,,,,,,,,,,,
6/12/2000 17:00,200006121700,186.40,001,,010,14.18,001,,010,,010,,010,,010,,010,989.00,001,,010,199.55,001,05.98,001,,,,,,,,,,,,,,,,,,
6/12/2000 17:30,200006121730,258.95,001,,010,14.72,001,,010,,010,,010,,010,,010,989.00,001,,010,197.55,001,05.51,001,,,,,,,,,,,,,,,,,,
6/12/2000 18:00,200006121800,154.50,001,,010,14.57,001,,010,,010,,010,,010,,010,989.00,001,,010,202.80,001,04.97,001,,,,,,,,,,,,,,,,,,
6/12/2000 18:30,200006121830,93.30,001,,010,14.42,001,,010,,010,,010,,010,,010,988.50,001,,010,203.70,001,05.91,001,,,,,,,,,,,,,,,,,,
6/12/2000 19:00,200006121900,77.10,001,,010,14.21,001,,010,,010,,010,,010,,010,988.00,001,,010,204.85,001,06.46,001,,,,,,,,,,,,,,,,,,
6/12/2000 19:30,200006121930,59.99,001,,010,13.89,001,,010,,010,,010,,010,,010,988.00,001,,010,202.00,001,06.19,001,,,,,,,,,,,,,,,,,,
6/12/2000 20:00,200006122000,19.25,001,,010,13.71,001,,010,,010,,010,,010,,010,988.00,001,,010,200.85,001,05.70,001,,,,,,,,,,,,,,,,,,
6/12/2000 20:30,200006122030,01.82,001,,010,13.74,001,,010,,010,,010,,010,,010,988.00,001,,010,191.90,001,03.28,001,,,,,,,,,,,,,,,,,,
6/12/2000 21:00,200006122100,00.02,003,,010,13.46,001,,010,,010,,010,,010,,010,988.00,001,,010,200.15,001,03.79,001,,,,,,,,,,,,,,,,,,
6/12/2000 21:30,200006122130,00.02,003,,010,13.01,001,,010,,010,,010,,010,,010,987.00,001,,010,205.70,001,04.33,001,,,,,,,,,,,,,,,,,,
6/12/2000 22:00,200006122200,00.02,003,,010,13.04,001,,010,,010,,010,,010,,010,987.00,001,,010,214.55,001,05.02,001,,,,,,,,,,,,,,,,,,
6/12/2000 22:30,200006122230,00.02,003,,010,12.66,001,,010,,010,,010,,010,,010,987.00,001,,010,214.90,001,04.25,001,,,,,,,,,,,,,,,,,,
6/12/2000 23:00,200006122300,00.02,003,,010,11.07,001,,010,,010,,010,,010,,010,988.00,001,,010,248.45,001,03.62,001,,,,,,,,,,,,,,,,,,
6/12/2000 23:30,200006122330,00.02,003,,010,09.37,001,,010,,010,,010,,010,,010,988.00,001,,010,265.90,001,03.16,001,,,,,,,,,,,,,,,,,,
6/13/2000 0:00,200006130000,00.02,003,,010,09.01,001,,010,,010,,010,,010,,010,988.00,001,,010,240.30,001,05.92,001,,,,,,,,,,,,,,,,,,
6/13/2000 0:30,200006130030,00.02,003,,010,10.04,001,,010,,010,,010,,010,,010,987.00,001,,010,239.85,001,06.36,001,,,,,,,,,,,,,,,,,,
6/13/2000 1:00,200006130100,00.02,003,,010,10.68,001,,010,,010,,010,,010,,010,987.00,001,,010,229.45,001,05.76,001,,,,,,,,,,,,,,,,,,
6/13/2000 1:30,200006130130,00.02,003,,010,10.91,001,,010,,010,,010,,010,,010,987.00,001,,010,229.80,001,05.77,001,,,,,,,,,,,,,,,,,,
6/13/2000 2:00,200006130200,00.02,003,,010,10.46,001,,010,,010,,010,,010,,010,987.00,001,,010,236.65,001,05.54,001,,,,,,,,,,,,,,,,,,
6/13/2000 2:30,200006130230,00.02,003,,010,09.21,001,,010,,010,,010,,010,,010,988.00,001,,010,239.35,001,06.16,001,,,,,,,,,,,,,,,,,,
6/13/2000 3:00,200006130300,00.02,003,,010,09.57,001,,010,,010,,010,,010,,010,988.00,001,,010,232.30,001,05.89,001,,,,,,,,,,,,,,,,,,
6/13/2000 3:30,200006130330,00.02,003,,010,09.56,001,,010,,010,,010,,010,,010,988.00,001,,010,232.45,001,05.60,001,,,,,,,,,,,,,,,,,,
