Long_name,4,Flag Total global solar radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,4,FLAG RG_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,4,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,5,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,5,TA_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,5,Units oC; Vailsala 50Y Humitter probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,5,1/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,6,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,6,FLAG TA_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,6,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,7,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,7,TA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,7,Units oC; Campbell Scientfic 107 probe; Replaced August 2002; Campbell Scientific Ltd (https://www.campbellsci.co.uk/107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,7,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,8,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,8,FLAG TA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,8,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,9,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,9,TA_1_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,9,Units oC; WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,9,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,10,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,10,FLAG TA_1_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,10,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,11,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,11,RH_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,11,Units %; Vailsala 50Y Humitter probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,11,1/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,12,Flag Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,12,FLAG RH_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,12,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,13,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,13,RH_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,13,Units %; Vaisala WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,13,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,14,Flag Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,14,FLAG RH_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,14,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,15,Rainfall by tipping bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,15,P_TB_2_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,15,"Units mm; original model unknown; currently ELE SPDRG-52 tipping bucket rain gauge; 0.25mm/tip (manufactured 2007, s/n SPDRG-52-19542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,15,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,16,Flag Rainfall by tipping bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,16,FLAG P_TB_2_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,16,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,17,Rainfall by percussion sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,17,P_PC_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,17,Units mm; Vaisala WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,17,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,18,Flag Rainfall by percussion sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,18,FLAG P_PC_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,18,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,19,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,19,PA_3_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,19,Units kPa; original model unknown; currently Vaisala PTB101B s/n R2150003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,19,10/14/1996 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,20,Flag atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,20,FLAG PA_3_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,20,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,21,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,21,PA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,21,Units kPa; WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,21,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,22,Flag atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,22,FLAG PA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,22,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,23,Wind direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,23,WD_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,23,"Units oN; prior to 2011-06-01 16:30 (WXT install) waswind vane, W200P Vector Instruments s/n 8409); ca 1992-09-21  12:00 wind direction logging corrected to vector averaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,23,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,24,Flag Wind direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,24,FLAG WD_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,24,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,25,Wind speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,25,WS_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,25,Units m/s; prior to 2011-0601 16:30 (WXT install) was cup anemometer (A100R (0.2 m/s threshold s/n 6597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,25,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,26,Flag Wind speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,26,FLAG WS_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,26,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,
1/1/2012 0:30,201201010030,00.02,003,07.52,001,06.96,001,07.42,001,83.85,001,78.78,001,00.75,001,00.67,001,972.00,001,971.17,001,216.12,001,03.92,001,,,,,,,,,,,,,,,,,,
1/1/2012 1:00,201201010100,00.02,003,07.12,001,06.42,001,07.01,001,88.90,001,83.76,001,01.50,001,01.57,001,971.50,001,970.89,001,214.37,001,04.68,001,,,,,,,,,,,,,,,,,,
1/1/2012 1:30,201201010130,00.02,003,07.12,001,06.56,001,07.02,001,89.95,001,84.78,001,00.25,001,00.43,001,971.00,001,970.19,001,207.26,001,05.41,001,,,,,,,,,,,,,,,,,,
1/1/2012 2:00,201201010200,00.02,003,07.18,001,06.42,001,07.07,001,88.95,001,83.90,001,01.50,001,01.03,001,971.00,001,970.41,001,228.13,001,03.22,001,,,,,,,,,,,,,,,,,,
1/1/2012 2:30,201201010230,00.02,003,07.61,001,07.09,001,07.47,001,86.40,001,81.72,001,00.00,001,00.00,001,971.00,001,970.24,001,215.97,001,03.96,001,,,,,,,,,,,,,,,,,,
1/1/2012 3:00,201201010300,00.02,003,07.79,001,07.24,001,07.68,001,82.70,001,77.89,001,00.00,001,00.00,001,971.00,001,970.27,001,213.46,001,03.90,001,,,,,,,,,,,,,,,,,,
1/1/2012 3:30,201201010330,00.02,003,07.75,001,07.20,001,07.65,001,80.80,001,75.91,001,00.00,001,00.00,001,971.00,001,970.02,001,211.55,001,04.46,001,,,,,,,,,,,,,,,,,,
1/1/2012 4:00,201201010400,00.02,003,07.58,001,07.05,001,07.46,001,80.85,001,75.85,001,00.00,001,00.00,001,970.00,001,969.76,001,216.46,001,04.16,001,,,,,,,,,,,,,,,,,,
1/1/2012 4:30,201201010430,00.02,003,07.36,001,06.84,001,07.24,001,81.10,001,76.09,001,00.00,001,00.00,001,970.00,001,969.72,001,217.43,001,03.31,001,,,,,,,,,,,,,,,,,,
1/1/2012 5:00,201201010500,00.02,003,06.92,001,06.40,001,06.79,001,81.20,001,76.24,001,00.00,001,00.00,001,970.00,001,969.56,001,219.32,001,03.85,001,,,,,,,,,,,,,,,,,,
1/1/2012 5:30,201201010530,00.02,003,06.67,001,06.16,001,06.57,001,81.05,001,76.00,001,00.00,001,00.00,001,970.00,001,969.16,001,215.67,001,04.15,001,,,,,,,,,,,,,,,,,,
1/1/2012 6:00,201201010600,00.02,003,06.56,001,06.05,001,06.41,001,80.95,001,76.17,001,00.00,001,00.00,001,969.50,001,968.79,001,215.96,001,03.23,001,,,,,,,,,,,,,,,,,,
1/1/2012 6:30,201201010630,00.02,003,06.81,001,06.31,001,06.67,001,77.30,001,72.69,001,00.00,001,00.00,001,969.00,001,968.69,001,225.55,001,04.31,001,,,,,,,,,,,,,,,,,,
1/1/2012 7:00,201201010700,00.02,003,06.38,001,05.83,001,06.29,001,81.25,001,76.16,001,00.00,001,00.05,001,970.00,001,969.21,001,223.65,001,04.02,001,,,,,,,,,,,,,,,,,,
1/1/2012 7:30,201201010730,00.02,003,06.16,001,05.62,001,06.05,001,83.20,001,78.24,001,00.00,001,00.00,001,970.00,001,969.35,001,223.78,001,03.61,001,,,,,,,,,,,,,,,,,,
1/1/2012 8:00,201201010800,00.02,003,05.75,001,05.21,001,05.66,001,82.65,001,77.58,001,00.00,001,00.00,001,970.00,001,969.42,001,226.17,001,03.50,001,,,,,,,,,,,,,,,,,,
1/1/2012 8:30,201201010830,00.02,003,05.33,001,04.80,001,05.22,001,83.70,001,78.60,001,00.00,001,00.00,001,970.00,001,969.50,001,214.18,001,03.67,001,,,,,,,,,,,,,,,,,,
1/1/2012 9:00,201201010900,05.03,001,05.05,001,04.50,001,04.92,001,83.30,001,78.26,001,00.00,001,00.00,001,970.00,001,969.40,001,215.78,001,03.10,001,,,,,,,,,,,,,,,,,,
1/1/2012 9:30,201201010930,13.92,001,05.07,001,04.54,001,04.93,001,81.95,001,76.99,001,00.00,001,00.00,001,970.00,001,969.32,001,206.50,001,03.72,001,,,,,,,,,,,,,,,,,,
1/1/2012 10:00,201201011000,37.26,001,05.21,001,04.71,001,05.06,001,81.95,001,77.11,001,00.00,001,00.00,001,970.00,001,969.13,001,209.32,001,04.46,001,,,,,,,,,,,,,,,,,,
1/1/2012 10:30,201201011030,88.50,001,05.65,001,05.18,001,05.43,001,81.30,001,76.85,001,00.00,001,00.00,001,970.00,001,968.92,001,209.45,001,04.91,001,,,,,,,,,,,,,,,,,,
1/1/2012 11:00,201201011100,120.75,001,06.19,001,05.73,001,05.96,001,79.75,001,75.32,001,00.00,001,00.00,001,969.00,001,968.79,001,215.76,001,04.32,001,,,,,,,,,,,,,,,,,,
1/1/2012 11:30,201201011130,136.55,001,06.61,001,06.15,001,06.38,001,77.50,001,73.08,001,,010,00.00,001,969.00,001,968.49,001,212.05,001,04.50,001,,,,,,,,,,,,,,,,,,
1/1/2012 12:00,201201011200,123.85,001,06.74,001,06.26,001,06.53,001,76.20,001,71.62,001,,010,00.00,001,969.00,001,968.39,001,211.87,001,04.26,001,,,,,,,,,,,,,,,,,,
1/1/2012 12:30,201201011230,118.45,001,06.90,001,06.41,001,06.69,001,76.50,001,71.86,001,,010,00.00,001,969.00,001,968.17,001,215.44,001,03.77,001,,,,,,,,,,,,,,,,,,
1/1/2012 13:00,201201011300,94.25,001,07.00,001,06.51,001,06.85,001,75.65,001,70.82,001,,010,00.00,001,969.00,001,967.89,001,216.84,001,03.72,001,,,,,,,,,,,,,,,,,,
1/1/2012 13:30,201201011330,90.00,001,06.82,001,06.32,001,06.70,001,75.60,001,70.77,001,,010,00.00,001,968.50,001,967.81,001,225.88,001,03.47,001,,,,,,,,,,,,,,,,,,
1/1/2012 14:00,201201011400,59.27,001,06.43,001,05.89,001,06.34,001,78.30,001,73.01,001,,010,00.02,001,968.00,001,967.54,001,218.20,001,03.18,001,,,,,,,,,,,,,,,,,,
1/1/2012 14:30,201201011430,55.48,001,06.09,001,05.56,001,05.92,001,80.10,001,75.39,001,,010,00.01,001,968.00,001,967.49,001,219.55,001,03.06,001,,,,,,,,,,,,,,,,,,
1/1/2012 15:00,201201011500,28.25,001,06.03,001,05.50,001,05.87,001,78.50,001,73.69,001,,010,00.00,001,968.00,001,967.51,001,216.50,001,03.53,001,,,,,,,,,,,,,,,,,,
1/1/2012 15:30,201201011530,09.29,001,05.76,001,05.19,001,05.68,001,80.90,001,75.56,001,,010,00.12,001,968.00,001,967.60,001,219.11,001,03.20,001,,,,,,,,,,,,,,,,,,
1/1/2012 16:00,201201011600,00.02,003,05.41,001,04.84,001,05.29,001,82.10,001,77.20,001,,010,00.00,001,968.00,001,967.51,001,220.81,001,02.97,001,,,,,,,,,,,,,,,,,,
1/1/2012 16:30,201201011630,00.02,003,04.98,001,04.41,001,04.85,001,83.35,001,78.19,001,,010,00.00,001,968.00,001,967.36,001,216.70,001,03.17,001,,,,,,,,,,,,,,,,,,
1/1/2012 17:00,201201011700,00.02,003,04.50,001,03.92,001,04.41,001,85.40,001,79.87,001,,010,00.00,001,968.00,001,967.31,001,220.31,001,03.21,001,,,,,,,,,,,,,,,,,,
1/1/2012 17:30,201201011730,00.02,003,03.96,001,03.40,001,03.83,001,88.15,001,82.70,001,,010,00.00,001,968.00,001,967.29,001,213.97,001,02.64,001,,,,,,,,,,,,,,,,,,
1/1/2012 18:00,201201011800,00.02,003,04.13,001,03.57,001,03.96,001,86.80,001,81.62,001,,010,00.00,001,968.00,001,967.24,001,218.72,001,02.62,001,,,,,,,,,,,,,,,,,,
1/1/2012 18:30,201201011830,00.02,003,03.81,001,03.25,001,03.68,001,86.45,001,80.97,001,,010,00.00,001,968.00,001,967.19,001,217.47,001,02.56,001,,,,,,,,,,,,,,,,,,
1/1/2012 19:00,201201011900,00.02,003,04.12,001,03.63,001,03.95,001,84.70,001,79.71,001,,010,00.00,001,968.00,001,967.20,001,210.68,001,03.82,001,,,,,,,,,,,,,,,,,,
1/1/2012 19:30,201201011930,00.02,003,04.41,001,03.86,001,04.33,001,83.70,001,78.29,001,00.50,001,00.23,001,968.00,001,967.36,001,222.33,001,03.66,001,,,,,,,,,,,,,,,,,,
1/1/2012 20:00,201201012000,00.02,003,03.70,001,03.11,001,03.62,001,89.05,001,83.15,001,00.25,001,00.05,001,968.00,001,967.38,001,214.43,001,03.13,001,,,,,,,,,,,,,,,,,,
1/1/2012 20:30,201201012030,00.02,003,03.77,001,03.20,001,03.65,001,86.50,001,81.14,001,00.00,001,00.00,001,968.00,001,967.49,001,218.30,001,03.23,001,,,,,,,,,,,,,,,,,,
1/1/2012 21:00,201201012100,00.02,003,03.51,001,02.94,001,03.40,001,86.50,001,80.93,001,00.00,001,00.00,001,968.00,001,967.73,001,213.23,001,03.50,001,,,,,,,,,,,,,,,,,,
1/1/2012 21:30,201201012130,00.02,003,03.41,001,02.84,001,03.30,001,85.65,001,80.14,001,00.00,001,00.00,001,969.00,001,967.91,001,216.11,001,03.37,001,,,,,,,,,,,,,,,,,,
1/1/2012 22:00,201201012200,00.02,003,03.03,001,02.48,001,02.94,001,86.45,001,80.69,001,00.00,001,00.00,001,969.00,001,967.92,001,215.43,001,03.87,001,,,,,,,,,,,,,,,,,,
1/1/2012 22:30,201201012230,00.02,003,03.27,001,02.76,001,03.15,001,85.10,001,79.66,001,00.00,001,00.00,001,969.00,001,967.91,001,216.41,001,03.83,001,,,,,,,,,,,,,,,,,,
1/1/2012 23:00,201201012300,00.02,003,03.14,001,02.62,001,03.04,001,83.75,001,78.08,001,00.00,001,00.00,001,969.00,001,967.86,001,220.46,001,03.55,001,,,,,,,,,,,,,,,,,,
1/1/2012 23:30,201201012330,00.02,003,02.98,001,02.47,001,02.89,001,83.30,001,77.54,001,00.00,001,00.00,001,969.00,001,967.89,001,216.94,001,04.42,001,,,,,,,,,,,,,,,,,,
1/2/2012 0:00,201201020000,00.02,003,02.85,001,02.32,001,02.75,001,83.35,001,77.62,001,00.00,001,00.00,001,969.00,001,967.99,001,222.05,001,03.47,001,,,,,,,,,,,,,,,,,,
1/2/2012 0:30,201201020030,00.02,003,02.78,001,02.23,001,02.66,001,83.05,001,77.39,001,00.00,001,00.00,001,969.00,001,968.02,001,222.88,001,03.75,001,,,,,,,,,,,,,,,,,,
1/2/2012 1:00,201201020100,00.02,003,02.48,001,01.95,001,02.39,001,83.00,001,77.09,001,00.00,001,00.00,001,969.00,001,968.06,001,213.41,001,04.32,001,,,,,,,,,,,,,,,,,,
1/2/2012 1:30,201201020130,00.02,003,02.26,001,01.73,001,02.17,001,82.80,001,77.00,001,00.00,001,00.00,001,969.00,001,967.90,001,221.91,001,03.90,001,,,,,,,,,,,,,,,,,,
1/2/2012 2:00,201201020200,00.02,003,02.28,001,01.76,001,02.19,001,81.30,001,75.59,001,00.00,001,00.00,001,969.00,001,967.90,001,221.04,001,04.12,001,,,,,,,,,,,,,,,,,,
1/2/2012 2:30,201201020230,00.02,003,02.22,001,01.69,001,02.12,001,80.25,001,74.57,001,00.00,001,00.00,001,969.00,001,968.03,001,217.05,001,03.85,001,,,,,,,,,,,,,,,,,,
1/2/2012 3:00,201201020300,00.02,003,02.10,001,01.54,001,02.01,001,80.15,001,74.36,001,00.00,001,00.00,001,969.00,001,968.32,001,225.39,001,03.56,001,,,,,,,,,,,,,,,,,,
1/2/2012 3:30,201201020330,00.02,003,01.84,001,01.29,001,01.76,001,85.70,001,79.43,001,00.00,001,00.00,001,969.00,001,968.32,001,215.83,001,04.08,001,,,,,,,,,,,,,,,,,,
1/2/2012 4:00,201201020400,00.02,003,02.00,001,01.49,001,01.88,001,84.05,001,78.24,001,00.00,001,00.00,001,969.00,001,968.22,001,218.08,001,04.18,001,,,,,,,,,,,,,,,,,,
1/2/2012 4:30,201201020430,00.02,003,02.11,001,01.57,001,02.04,001,83.20,001,77.15,001,00.00,001,00.00,001,969.00,001,968.06,001,219.60,001,03.87,001,,,,,,,,,,,,,,,,,,
1/2/2012 5:00,201201020500,00.02,003,02.06,001,01.54,001,01.93,001,83.65,001,77.99,001,00.00,001,00.00,001,969.00,001,967.97,001,224.14,001,04.12,001,,,,,,,,,,,,,,,,,,
1/2/2012 5:30,201201020530,00.02,003,01.92,001,01.38,001,01.85,001,85.55,001,79.37,001,00.00,001,00.00,001,969.00,001,967.88,001,219.19,001,04.42,001,,,,,,,,,,,,,,,,,,
